RefreshRunKey,DateKey,DatasetKey,Status,FailureCategory,DurationMinutes,SLACompliantFlag,RetryCount
RR000001,20250101,DS001,Success,None,42,1,0
RR000002,20250102,DS001,Success,None,30,1,0
RR000003,20250103,DS001,Success,None,22,1,0
RR000004,20250104,DS001,Success,None,26,1,1
RR000005,20250105,DS001,Success,None,45,1,0
RR000006,20250106,DS001,Success,None,21,1,0
RR000007,20250107,DS001,Success,None,34,1,0
RR000008,20250108,DS001,Success,None,32,1,0
RR000009,20250109,DS001,Success,None,22,1,0
RR000010,20250110,DS001,Success,None,47,1,0
RR000011,20250111,DS001,Success,None,44,1,0
RR000012,20250112,DS001,Success,None,37,1,0
RR000013,20250113,DS001,Success,None,45,1,0
RR000014,20250114,DS001,Success,None,32,1,0
RR000015,20250115,DS001,Success,None,28,1,0
RR000016,20250116,DS001,Success,None,28,1,0
RR000017,20250117,DS001,Success,None,36,1,0
RR000018,20250118,DS001,Success,None,40,1,0
RR000019,20250119,DS001,Success,None,34,1,0
RR000020,20250120,DS001,Success,None,13,1,0
RR000021,20250121,DS001,Success,None,22,1,0
RR000022,20250122,DS001,Success,None,30,1,0
RR000023,20250123,DS001,Success,None,36,1,0
RR000024,20250124,DS001,Success,None,30,1,0
RR000025,20250125,DS001,Success,None,34,1,0
RR000026,20250126,DS001,Success,None,27,1,0
RR000027,20250127,DS001,Success,None,43,1,0
RR000028,20250128,DS001,Success,None,49,1,0
RR000029,20250129,DS001,Success,None,29,1,0
RR000030,20250130,DS001,Success,None,37,1,0
RR000031,20250131,DS001,Success,None,37,1,0
RR000032,20250201,DS001,Success,None,37,1,1
RR000033,20250202,DS001,Success,None,24,1,0
RR000034,20250203,DS001,Success,None,27,1,0
RR000035,20250204,DS001,Success,None,22,1,0
RR000036,20250205,DS001,Success,None,42,1,0
RR000037,20250206,DS001,Success,None,48,1,0
RR000038,20250207,DS001,Failed,Gateway timeout,43,0,1
RR000039,20250208,DS001,Success,None,39,1,0
RR000040,20250209,DS001,Success,None,34,1,0
RR000041,20250210,DS001,Success,None,18,1,0
RR000042,20250211,DS001,Success,None,17,1,0
RR000043,20250212,DS001,Success,None,30,1,0
RR000044,20250213,DS001,Success,None,40,1,0
RR000045,20250214,DS001,Success,None,42,1,0
RR000046,20250215,DS001,Success,None,52,1,0
RR000047,20250216,DS001,Success,None,34,1,0
RR000048,20250217,DS001,Success,None,47,1,0
RR000049,20250218,DS001,Success,None,21,1,0
RR000050,20250219,DS001,Success,None,40,1,0
RR000051,20250220,DS001,Failed,Source unavailable,31,0,1
RR000052,20250221,DS001,Success,None,19,1,0
RR000053,20250222,DS001,Success,None,37,1,0
RR000054,20250223,DS001,Success,None,38,1,0
RR000055,20250224,DS001,Success,None,56,1,0
RR000056,20250225,DS001,Success,None,38,1,0
RR000057,20250226,DS001,Success,None,23,1,0
RR000058,20250227,DS001,Success,None,36,1,0
RR000059,20250228,DS001,Success,None,34,1,0
RR000060,20250301,DS001,Success,None,18,1,0
RR000061,20250302,DS001,Success,None,21,1,0
RR000062,20250303,DS001,Success,None,37,1,0
RR000063,20250304,DS001,Success,None,32,1,0
RR000064,20250305,DS001,Success,None,20,1,0
RR000065,20250306,DS001,Success,None,44,1,0
RR000066,20250307,DS001,Success,None,42,1,0
RR000067,20250308,DS001,Success,None,24,1,0
RR000068,20250309,DS001,Success,None,26,1,0
RR000069,20250310,DS001,Success,None,33,1,1
RR000070,20250311,DS001,Success,None,29,1,0
RR000071,20250312,DS001,Success,None,26,1,0
RR000072,20250313,DS001,Success,None,15,1,0
RR000073,20250314,DS001,Success,None,26,1,0
RR000074,20250315,DS001,Success,None,29,1,0
RR000075,20250316,DS001,Success,None,43,1,0
RR000076,20250317,DS001,Success,None,28,1,1
RR000077,20250318,DS001,Failed,Capacity throttling,38,0,2
RR000078,20250319,DS001,Success,None,39,1,0
RR000079,20250320,DS001,Success,None,28,1,0
RR000080,20250321,DS001,Success,None,27,1,0
RR000081,20250322,DS001,Success,None,43,1,0
RR000082,20250323,DS001,Success,None,38,1,0
RR000083,20250324,DS001,Success,None,38,1,0
RR000084,20250325,DS001,Success,None,26,1,0
RR000085,20250326,DS001,Success,None,38,1,1
RR000086,20250327,DS001,Success,None,24,1,0
RR000087,20250328,DS001,Success,None,40,1,0
RR000088,20250329,DS001,Success,None,29,1,0
RR000089,20250330,DS001,Success,None,32,1,0
RR000090,20250331,DS001,Success,None,36,1,0
RR000091,20250401,DS001,Success,None,42,1,0
RR000092,20250402,DS001,Success,None,36,1,0
RR000093,20250403,DS001,Success,None,27,1,0
RR000094,20250404,DS001,Success,None,17,1,0
RR000095,20250405,DS001,Success,None,38,1,0
RR000096,20250406,DS001,Success,None,44,1,0
RR000097,20250407,DS001,Success,None,29,1,0
RR000098,20250408,DS001,Success,None,23,1,0
RR000099,20250409,DS001,Success,None,29,1,0
RR000100,20250410,DS001,Success,None,33,1,0
RR000101,20250411,DS001,Success,None,48,1,0
RR000102,20250412,DS001,Failed,Credential expired,22,0,1
RR000103,20250413,DS001,Success,None,32,1,0
RR000104,20250414,DS001,Success,None,17,1,0
RR000105,20250415,DS001,Success,None,41,1,0
RR000106,20250416,DS001,Success,None,32,1,0
RR000107,20250417,DS001,Success,None,28,1,0
RR000108,20250418,DS001,Success,None,39,1,0
RR000109,20250419,DS001,Success,None,23,1,0
RR000110,20250420,DS001,Success,None,36,1,0
