MonthStart,MonthLabel,MonthIndex,Year,Quarter,IsLatestCompleteMonth
2024-01-01,Jan 2024,1,2024,Q1,0
2024-02-01,Feb 2024,2,2024,Q1,0
2024-03-01,Mar 2024,3,2024,Q1,0
2024-04-01,Apr 2024,4,2024,Q2,0
2024-05-01,May 2024,5,2024,Q2,0
2024-06-01,Jun 2024,6,2024,Q2,0
2024-07-01,Jul 2024,7,2024,Q3,0
2024-08-01,Aug 2024,8,2024,Q3,0
2024-09-01,Sep 2024,9,2024,Q3,0
2024-10-01,Oct 2024,10,2024,Q4,0
2024-11-01,Nov 2024,11,2024,Q4,0
2024-12-01,Dec 2024,12,2024,Q4,0
2025-01-01,Jan 2025,13,2025,Q1,0
2025-02-01,Feb 2025,14,2025,Q1,0
2025-03-01,Mar 2025,15,2025,Q1,0
2025-04-01,Apr 2025,16,2025,Q2,0
2025-05-01,May 2025,17,2025,Q2,0
2025-06-01,Jun 2025,18,2025,Q2,0
2025-07-01,Jul 2025,19,2025,Q3,0
2025-08-01,Aug 2025,20,2025,Q3,0
2025-09-01,Sep 2025,21,2025,Q3,0
2025-10-01,Oct 2025,22,2025,Q4,0
2025-11-01,Nov 2025,23,2025,Q4,0
2025-12-01,Dec 2025,24,2025,Q4,0
2026-01-01,Jan 2026,25,2026,Q1,0
2026-02-01,Feb 2026,26,2026,Q1,0
2026-03-01,Mar 2026,27,2026,Q1,0
2026-04-01,Apr 2026,28,2026,Q2,0
2026-05-01,May 2026,29,2026,Q2,1
