MonthStart,ScenarioID,RevenueLTM,EBITDALTM,NetDebt,LeverageRatio,LeverageLimit,LeverageHeadroom,InterestCoverage,InterestCoverageLimit,Liquidity,LiquidityMinimum,LiquidityHeadroom,CovenantStatus,RiskScore
2024-01-01,Base,18104514.8,5340067.57,-78956432.9,6.37,3.5,-2.87,1.92,2.0,112956432.9,25000000,87956432.9,Breach,100.0
2024-02-01,Base,36962119.89,11152544.79,-84369317.47,3.05,3.5,0.45,4.0,2.0,118369317.47,25000000,93369317.47,Watch,55.4
2024-03-01,Base,57607045.8,17453818.9,-90233125.6,1.95,3.5,1.55,6.26,2.0,124233125.6,25000000,99233125.6,Clear,35.5
2024-04-01,Base,78519216.17,24047077.93,-96383255.74,1.41,3.5,2.09,8.63,2.0,130383255.74,25000000,105383255.74,Clear,24.5
2024-05-01,Base,100268989.67,30957268.61,-102832568.72,1.1,3.5,2.4,11.1,2.0,136832568.72,25000000,111832568.72,Clear,16.8
2024-06-01,Base,122621223.7,38092041.86,-109493698.13,0.89,3.5,2.61,13.66,2.0,143493698.13,25000000,118493698.13,Clear,10.9
2024-07-01,Base,145925731.06,45701842.54,-116609676.3,0.74,3.5,2.76,16.39,2.0,150609676.3,25000000,125609676.3,Clear,5.7
2024-08-01,Base,168600279.8,53097822.17,-123525182.24,0.64,3.5,2.86,19.05,2.0,157525182.24,25000000,132525182.24,Clear,1.2
2024-09-01,Base,191069433.09,60360331.47,-130311570.19,0.56,3.5,2.94,21.65,2.0,164311570.19,25000000,139311570.19,Clear,0.0
2024-10-01,Base,213899480.83,68029217.14,-137496687.14,0.5,3.5,3.0,24.4,2.0,171496687.14,25000000,146496687.14,Clear,0.0
2024-11-01,Base,237290236.66,75934545.95,-144906365.83,0.45,3.5,3.05,27.24,2.0,178906365.83,25000000,153906365.83,Clear,0.0
2024-12-01,Base,260704419.23,83723239.33,-152198912.69,0.41,3.5,3.09,30.03,2.0,186198912.69,25000000,161198912.69,Clear,0.0
2025-01-01,Base,266653351.95,86487426.54,-159793474.91,0.39,3.5,3.11,31.02,2.0,193793474.91,25000000,168793474.91,Clear,0.0
2025-02-01,Base,273570050.1,89455587.24,-168027955.35,0.38,3.5,3.12,32.09,2.0,202027955.35,25000000,177027955.35,Clear,0.0
2025-03-01,Base,279505110.61,92315045.71,-176625458.02,0.37,3.5,3.13,33.11,2.0,210625458.02,25000000,185625458.02,Clear,0.0
2025-04-01,Base,287173935.58,95926224.06,-186224264.11,0.35,3.5,3.15,34.41,2.0,220224264.11,25000000,195224264.11,Clear,0.0
2025-05-01,Base,294259711.94,99186907.13,-195784112.55,0.34,3.5,3.16,35.58,2.0,229784112.55,25000000,204784112.55,Clear,0.0
2025-06-01,Base,301603864.8,102678421.91,-205781134.15,0.33,3.5,3.17,36.83,2.0,239781134.15,25000000,214781134.15,Clear,0.0
2025-07-01,Base,308239698.96,105997233.23,-216075310.31,0.32,3.5,3.18,38.02,2.0,250075310.31,25000000,225075310.31,Clear,0.0
2025-08-01,Base,314636628.72,109218482.36,-226076514.44,0.31,3.5,3.19,39.17,2.0,260076514.44,25000000,235076514.44,Clear,0.0
2025-09-01,Base,322128541.66,112844268.1,-236329934.48,0.3,3.5,3.2,40.47,2.0,270329934.48,25000000,245329934.48,Clear,0.0
2025-10-01,Base,327725006.95,115574579.97,-246126774.21,0.29,3.5,3.21,41.45,2.0,280126774.21,25000000,255126774.21,Clear,0.0
2025-11-01,Base,332982011.7,118247364.73,-256097841.74,0.29,3.5,3.21,42.41,2.0,290097841.74,25000000,265097841.74,Clear,0.0
2025-12-01,Base,339588533.67,121670029.64,-266673061.3,0.28,3.5,3.22,43.64,2.0,300673061.3,25000000,275673061.3,Clear,0.0
