MonthStart,ScenarioID,CostCategoryID,OperatingExpense,PlanOperatingExpense,ForecastOperatingExpense
2024-01-01,Base,sm,6055549.21,5996211.14,6098892.56
2024-01-01,Base,rd,4340439.7,4232619.63,4464754.42
2024-01-01,Base,ga,2301737.21,2292668.96,2248112.44
2024-01-01,Base,support,1315575.54,1234514.06,1301959.62
2024-02-01,Base,sm,6274958.66,6292939.58,6461345.14
2024-02-01,Base,rd,4373222.39,4442075.0,4266175.35
2024-02-01,Base,ga,2512190.71,2406123.96,2550333.89
2024-02-01,Base,support,1311983.92,1295605.21,1282847.8
2024-03-01,Base,sm,6658173.41,6930698.62,6761911.18
2024-03-01,Base,rd,4989267.63,4892257.85,5088305.84
2024-03-01,Base,ga,2712066.82,2649973.0,2725784.69
2024-03-01,Base,support,1498011.33,1426908.54,1522984.51
2024-04-01,Base,sm,6943973.13,6900062.23,6866206.75
2024-04-01,Base,rd,5007708.64,4870632.17,4957928.9
2024-04-01,Base,ga,2650012.4,2638259.09,2585025.14
2024-04-01,Base,support,1363928.72,1420601.05,1364617.96
2024-05-01,Base,sm,7399371.74,7235579.31,7458959.91
2024-05-01,Base,rd,5088811.06,5107467.75,5172779.22
2024-05-01,Base,ga,2843119.4,2766545.03,2731824.43
2024-05-01,Base,support,1471730.95,1489678.09,1450730.13
2024-06-01,Base,sm,7845105.98,7567112.33,7969163.24
2024-06-01,Base,rd,5328997.53,5341491.06,5433761.69
2024-06-01,Base,ga,2958898.04,2893307.66,2940524.96
2024-06-01,Base,support,1515822.01,1557934.89,1563142.87
2024-07-01,Base,sm,7600472.14,7762493.17,7536046.36
2024-07-01,Base,rd,5430741.94,5479406.94,5395196.4
2024-07-01,Base,ga,3013792.07,2968012.09,3062249.59
2024-07-01,Base,support,1598329.41,1598160.36,1579800.15
2024-08-01,Base,sm,7388578.48,7490303.89,7429948.53
2024-08-01,Base,rd,5310965.88,5287273.34,5321121.14
2024-08-01,Base,ga,2818389.61,2863939.72,2823672.77
2024-08-01,Base,support,1559396.5,1542121.39,1579831.64
2024-09-01,Base,sm,7420742.84,7421178.09,7246245.92
2024-09-01,Base,rd,5166524.41,5238478.65,5089156.05
2024-09-01,Base,ga,2708776.14,2837509.27,2734194.78
2024-09-01,Base,support,1510729.48,1527889.61,1541322.1
2024-10-01,Base,sm,7756579.6,7674237.23,7833520.29
2024-10-01,Base,rd,5210046.14,5417108.63,5236700.79
2024-10-01,Base,ga,2804922.05,2934267.17,2852400.24
2024-10-01,Base,support,1520535.37,1579990.02,1527274.07
2024-11-01,Base,sm,7390629.03,7688262.38,7336796.85
2024-11-01,Base,rd,5210688.39,5427008.74,5187138.45
2024-11-01,Base,ga,2907109.39,2939629.73,2899073.96
2024-11-01,Base,support,1522431.39,1582877.55,1525436.65
2024-12-01,Base,sm,7886950.89,7815817.41,7822712.98
2024-12-01,Base,rd,5266030.06,5517047.58,5284763.84
2024-12-01,Base,ga,2935639.49,2988400.77,3005328.97
2024-12-01,Base,support,1566379.43,1609138.88,1538133.31
2025-01-01,Base,sm,7462654.7,7898984.08,7267364.53
2025-01-01,Base,rd,5332815.6,5575753.47,5195583.55
2025-01-01,Base,ga,2938720.83,3020199.8,2914206.0
2025-01-01,Base,support,1595507.19,1626261.43,1616302.31
2025-02-01,Base,sm,8228644.35,8654687.77,8235959.52
2025-02-01,Base,rd,5843817.92,6109191.37,5953741.7
2025-02-01,Base,ga,3148594.06,3309145.32,3165766.97
2025-02-01,Base,support,1733932.37,1781847.48,1716780.36
2025-03-01,Base,sm,8370369.06,8840544.96,8275522.6
2025-03-01,Base,rd,5808120.06,6240384.68,5871074.66
2025-03-01,Base,ga,3245773.78,3380208.37,3212265.15
2025-03-01,Base,support,1687551.04,1820112.2,1727065.01
2025-04-01,Base,sm,8990332.16,9551144.46,8889574.43
2025-04-01,Base,rd,6425866.7,6741984.32,6353567.95
2025-04-01,Base,ga,3488030.77,3651908.18,3513213.08
2025-04-01,Base,support,1868540.49,1966412.09,1856289.87
2025-05-01,Base,sm,9172950.15,9674481.54,8979810.13
2025-05-01,Base,rd,6418770.71,6829045.79,6557413.73
2025-05-01,Base,ga,3531043.82,3699066.47,3513246.23
2025-05-01,Base,support,1848582.05,1991805.02,1818988.96
2025-06-01,Base,sm,9597688.69,9962999.8,9682079.45
2025-06-01,Base,rd,6502537.57,7032705.74,6371714.13
2025-06-01,Base,ga,3536204.81,3809382.28,3545234.71
2025-06-01,Base,support,1919330.53,2051205.84,1967356.15
2025-07-01,Base,sm,9521642.52,10202760.13,9129279.09
2025-07-01,Base,rd,6898466.84,7201948.33,6881843.63
2025-07-01,Base,ga,3670552.74,3901055.34,3612306.19
2025-07-01,Base,support,1976489.98,2100568.26,1951556.69
2025-08-01,Base,sm,8997135.21,9964996.28,9257064.04
2025-08-01,Base,rd,6678686.18,7034115.02,6633112.42
2025-08-01,Base,ga,3572393.94,3810145.64,3457700.36
2025-08-01,Base,support,1918080.24,2051616.88,1851445.62
2025-09-01,Base,sm,9639410.04,10226547.15,9613318.96
2025-09-01,Base,rd,6694688.38,7218739.17,6748133.1
2025-09-01,Base,ga,3591798.73,3910150.38,3603982.04
