MonthStart,ScenarioID,BusinessUnitID,RegionID,Revenue,PlanRevenue,ForecastRevenue,COGS,GrossProfit,OperatingExpense,EBITDA,PlanEBITDA,ForecastEBITDA,NetIncome,IsSynthetic
2024-01-01,Base,enterprise,americas,3997902.47,4495794.11,3995231.11,663780.84,3334121.63,1807196.67,1526924.96,1798317.64,1733801.36,1189991.15,TRUE
2024-01-01,Base,enterprise,emea,1797930.24,1892965.94,1738083.56,337362.65,1460567.59,830708.87,629858.72,757186.38,716717.08,488562.34,TRUE
2024-01-01,Base,enterprise,apac,1074051.36,1178371.3,1039703.84,193413.3,880638.07,511287.34,369350.73,471348.52,436594.25,286187.61,TRUE
2024-01-01,Base,enterprise,latam,335914.41,342311.34,324759.0,75503.49,260410.92,159907.42,100503.5,136924.54,121859.31,77196.13,TRUE
2024-01-01,Base,smb,americas,2690550.94,3069475.72,2619943.21,723993.22,1966557.71,1216226.44,750331.27,1074316.5,866972.35,573487.46,TRUE
2024-01-01,Base,smb,emea,1251221.16,1292410.83,1199964.1,344279.54,906941.62,578109.48,328832.14,452343.79,389802.55,250210.93,TRUE
2024-01-01,Base,smb,apac,765418.93,804525.74,737163.34,201033.18,564385.75,364367.12,200018.62,281584.01,248686.0,152128.34,TRUE
2024-01-01,Base,smb,latam,335914.41,233710.96,327601.57,103309.02,232605.39,159907.42,72697.97,81798.84,95808.5,54395.59,TRUE
2024-01-01,Base,data,americas,1878822.01,1954648.2,1802812.01,200474.45,1678347.56,849295.58,829051.98,860045.21,889323.19,650644.57,TRUE
2024-01-01,Base,data,emea,821647.08,823009.77,791000.23,93608.45,728038.63,379630.7,348407.93,362124.3,384483.22,272934.35,TRUE
2024-01-01,Base,data,apac,495307.38,512323.58,482239.74,58136.95,437170.42,235784.25,201386.18,225422.38,232740.71,157444.56,TRUE
2024-01-01,Base,data,latam,335914.41,148827.6,328362.35,52234.32,283680.09,159907.42,123772.67,65484.14,145957.43,96276.85,TRUE
2024-01-01,Base,services,americas,1146109.98,1244242.51,1124557.75,671025.06,475084.93,518083.21,-42998.28,74654.55,16328.01,-64704.45,TRUE
2024-01-01,Base,services,emea,505981.18,523891.58,490665.93,305435.68,200545.51,233781.63,-33236.12,31433.5,-1791.06,-42818.89,TRUE
2024-01-01,Base,services,apac,335914.41,326122.51,323745.72,201863.46,134050.95,159907.42,-25856.47,19567.35,-303.41,-32218.35,TRUE
2024-01-01,Base,services,latam,335914.41,94737.06,320136.91,214985.22,120929.19,159907.42,-38978.23,5684.22,-12805.48,-45340.11,TRUE
2024-02-01,Base,enterprise,americas,4212061.73,4634660.33,4218021.92,704096.54,3507965.19,1888085.4,1619879.79,1853864.13,1825720.29,1263017.73,TRUE
2024-02-01,Base,enterprise,emea,1812369.2,1951435.93,1817040.75,316272.79,1496096.41,830530.55,665565.86,780574.37,773136.44,517673.69,TRUE
2024-02-01,Base,enterprise,apac,1168922.92,1214768.87,1174783.28,203560.25,965362.67,552031.82,413330.85,485907.55,500289.18,320813.9,TRUE
2024-02-01,Base,enterprise,latam,349490.39,352884.66,346274.25,73856.1,275634.29,165049.22,110585.07,141153.87,134588.1,85262.93,TRUE
2024-02-01,Base,smb,americas,2898350.91,3164285.78,2874826.0,667775.71,2230575.2,1302310.94,928264.26,1107500.02,1062539.99,716254.5,TRUE
2024-02-01,Base,smb,emea,1306487.4,1332330.85,1303348.77,341898.5,964588.89,600106.57,364482.32,466315.8,440932.12,278625.96,TRUE
2024-02-01,Base,smb,apac,783183.2,829375.96,775487.28,185590.28,597592.92,370702.74,226890.18,290281.58,281525.78,173911.22,TRUE
2024-02-01,Base,smb,latam,349490.39,240929.83,351707.06,101094.15,248396.24,165423.68,82972.57,84325.44,109288.89,62620.68,TRUE
2024-02-01,Base,data,americas,1927096.15,2015023.43,1926961.38,196938.77,1730157.38,863834.0,866323.39,886610.31,959251.83,680516.68,TRUE
2024-02-01,Base,data,emea,815450.58,848430.92,819702.35,96181.05,719269.54,373685.79,345583.75,373309.6,395138.88,270739.82,TRUE
2024-02-01,Base,data,apac,501492.54,528148.25,502042.01,57158.59,444333.95,236833.27,207500.68,232385.23,244003.99,162377.81,TRUE
2024-02-01,Base,data,latam,349490.39,153424.59,351832.08,53687.34,295803.05,165049.22,130753.83,67506.82,157052.19,101801.31,TRUE
2024-02-01,Base,services,americas,1180109.83,1282674.71,1168013.72,703958.02,476151.81,531310.35,-55158.54,76960.48,4065.77,-77464.38,TRUE
2024-02-01,Base,services,emea,484883.95,540073.56,481343.24,293448.3,191435.66,223153.83,-31718.17,32404.41,-2499.54,-40883.2,TRUE
2024-02-01,Base,services,apac,369235.12,336195.79,369694.41,217331.79,151903.33,175099.09,-23195.76,20171.75,4214.52,-30174.85,TRUE
2024-02-01,Base,services,latam,349490.39,97663.3,348598.77,223337.51,126152.88,165735.72,-39582.84,5859.8,-13608.47,-46188.73,TRUE
2024-03-01,Base,enterprise,americas,4466915.04,4773526.56,4485490.75,792128.27,3674786.77,1979263.57,1695523.2,1909410.62,1895872.11,1321381.18,TRUE
2024-03-01,Base,enterprise,emea,1942603.11,2009905.92,1918489.14,344741.13,1597861.98,880181.95,717680.03,803962.37,810631.71,558513.11,TRUE
2024-03-01,Base,enterprise,apac,1288283.96,1251166.44,1295504.34,220633.69,1067650.27,601749.8,465900.47,500466.57,555432.34,362153.43,TRUE
2024-03-01,Base,enterprise,latam,447516.27,363457.99,446298.14,93022.35,354493.92,209032.2,145461.72,145383.19,175009.74,112371.1,TRUE
2024-03-01,Base,smb,americas,3210219.18,3259095.84,3167412.72,824838.73,2385380.45,1429308.12,956072.33,1140683.54,1086607.66,734428.85,TRUE
2024-03-01,Base,smb,emea,1389281.46,1372250.88,1402951.02,375972.34,1013309.13,632452.22,380856.9,480287.81,462098.97,290858.79,TRUE
2024-03-01,Base,smb,apac,890200.54,854226.17,874645.11,216752.59,673447.95,417714.97,255732.99,298979.16,311822.03,195960.6,TRUE
2024-03-01,Base,smb,latam,380579.21,248148.7,380704.51,107754.58,272824.63,178581.82,94242.81,86852.05,120632.65,71404.78,TRUE
2024-03-01,Base,data,americas,2205050.08,2075398.66,2167699.32,254308.55,1950741.53,977044.61,973696.92,913175.41,1050618.71,764396.02,TRUE
2024-03-01,Base,data,emea,871041.16,873852.07,862430.42,101636.68,769404.48,394663.59,374740.9,384494.91,416826.31,293842.82,TRUE
2024-03-01,Base,data,apac,549765.6,543972.91,556495.36,55373.0,494392.6,256792.25,237600.35,239348.08,277846.39,186346.53,TRUE
2024-03-01,Base,data,latam,380579.21,158021.58,382157.24,61488.72,319090.49,177766.29,141324.2,69529.5,167550.67,110011.52,TRUE
2024-03-01,Base,services,americas,1321967.6,1321106.91,1308136.68,767172.43,554795.17,590949.45,-36154.27,79266.41,25736.03,-61038.26,TRUE
2024-03-01,Base,services,emea,539765.08,556255.54,545250.88,319561.31,220203.77,246684.86,-26481.09,33375.33,4341.42,-36641.33,TRUE
2024-03-01,Base,services,apac,380579.21,346269.08,376600.14,233988.22,146590.99,179261.42,-32670.43,20776.14,-5581.72,-39834.25,TRUE
2024-03-01,Base,services,latam,380579.21,100589.54,380673.81,243570.69,137008.51,179261.42,-42252.91,6035.37,-15226.95,-49416.72,TRUE
2024-04-01,Base,enterprise,americas,4661749.1,4912392.79,4655360.26,731005.21,3930743.89,2052265.33,1878478.56,1964957.11,2063212.78,1468437.49,TRUE
