ScenarioID,Driver,CaseLabel,DriverCase,EquityValueDelta,EquityValue
Base,Revenue Growth,Downside,Revenue Growth - Downside,-294458241.86,2650124176.76
Base,Revenue Growth,Upside,Revenue Growth - Upside,353349890.24,3297932308.86
Base,Gross Margin,Downside,Gross Margin - Downside,-117783296.75,2826799121.88
Base,Gross Margin,Upside,Gross Margin - Upside,147229120.93,3091811539.56
Base,WACC,Downside,WACC - Downside,206120769.3,3150703187.93
Base,WACC,Upside,WACC - Upside,-176674945.12,2767907473.51
Base,Terminal Growth,Downside,Terminal Growth - Downside,-147229120.93,2797353297.69
Base,Terminal Growth,Upside,Terminal Growth - Upside,206120769.3,3150703187.93
Base,Exit Multiple,Downside,Exit Multiple - Downside,-353349890.24,2591232528.39
Base,Exit Multiple,Upside,Exit Multiple - Upside,412241538.61,3356823957.23
Base,Burn Reduction,Downside,Burn Reduction - Downside,-117783296.75,2826799121.88
Base,Burn Reduction,Upside,Burn Reduction - Upside,235566593.49,3180149012.12
Upside,Revenue Growth,Downside,Revenue Growth - Downside,-382825821.5,3445432393.48
Upside,Revenue Growth,Upside,Revenue Growth - Upside,459390985.8,4287649200.78
Upside,Gross Margin,Downside,Gross Margin - Downside,-153130328.6,3675127886.38
Upside,Gross Margin,Upside,Gross Margin - Upside,191412910.75,4019671125.73
Upside,WACC,Downside,WACC - Downside,267978075.05,4096236290.03
Upside,WACC,Upside,WACC - Upside,-229695492.9,3598562722.08
Upside,Terminal Growth,Downside,Terminal Growth - Downside,-191412910.75,3636845304.23
Upside,Terminal Growth,Upside,Terminal Growth - Upside,267978075.05,4096236290.03
Upside,Exit Multiple,Downside,Exit Multiple - Downside,-459390985.8,3368867229.18
Upside,Exit Multiple,Upside,Exit Multiple - Upside,535956150.1,4364214365.08
Upside,Burn Reduction,Downside,Burn Reduction - Downside,-153130328.6,3675127886.38
Upside,Burn Reduction,Upside,Burn Reduction - Upside,306260657.2,4134518872.18
Downside,Revenue Growth,Downside,Revenue Growth - Downside,-214740957.35,1932668616.18
Downside,Revenue Growth,Upside,Revenue Growth - Upside,257689148.82,2405098722.35
Downside,Gross Margin,Downside,Gross Margin - Downside,-85896382.94,2061513190.59
Downside,Gross Margin,Upside,Gross Margin - Upside,107370478.68,2254780052.21
Downside,WACC,Downside,WACC - Downside,150318670.15,2297728243.68
Downside,WACC,Upside,WACC - Upside,-128844574.41,2018564999.12
Downside,Terminal Growth,Downside,Terminal Growth - Downside,-107370478.68,2040039094.85
Downside,Terminal Growth,Upside,Terminal Growth - Upside,150318670.15,2297728243.68
Downside,Exit Multiple,Downside,Exit Multiple - Downside,-257689148.82,1889720424.71
Downside,Exit Multiple,Upside,Exit Multiple - Upside,300637340.29,2448046913.82
Downside,Burn Reduction,Downside,Burn Reduction - Downside,-85896382.94,2061513190.59
Downside,Burn Reduction,Upside,Burn Reduction - Upside,171792765.88,2319202339.41
