MonthStart,ScenarioID,Statement,LineItem,LineSort,ValueActual,ValuePlan,ValueForecast
2024-01-01,Base,Income Statement,Revenue,10,18104514.8,18870000.0,17573761.55
2024-01-01,Base,Income Statement,Gross Profit,20,13664075.97,14341200.0,13531796.39
2024-01-01,Base,Income Statement,EBITDA,30,5340067.57,4151400.0,4041965.16
2024-01-01,Base,Income Statement,Net Income,40,4064378.04,2075700.0,2108851.39
2024-01-01,Base,Balance Sheet,Cash,110,112956432.9,64000000.0,115215561.56
2024-01-01,Base,Balance Sheet,Working Capital,120,1991496.63,2264400.0,1951666.7
2024-01-01,Base,Balance Sheet,Debt,130,34000000.0,34000000.0,34000000.0
2024-01-01,Base,Cash Flow,Operating Cash Flow,210,5608195.43,3396600.0,5776441.29
2024-01-01,Base,Cash Flow,Capex,220,-651762.53,-660450.0,-664797.78
2024-01-01,Base,Cash Flow,Free Cash Flow,230,4956432.9,2453100.0,5154690.21
2024-01-01,Base,Cash Flow,Financing Inflow,240,0.0,0.0,0.0
2024-02-01,Base,Income Statement,Revenue,10,18857605.1,19452857.14,18800053.81
2024-02-01,Base,Income Statement,Gross Profit,20,14421419.42,14784171.43,14476041.44
2024-02-01,Base,Income Statement,EBITDA,30,5812477.22,4279628.57,4324012.38
2024-02-01,Base,Income Statement,Net Income,40,4438905.06,2139814.29,2256006.46
2024-02-01,Base,Balance Sheet,Cash,110,118369317.47,64000000.0,120736703.82
2024-02-01,Base,Balance Sheet,Working Capital,120,2074336.56,2334342.86,2032849.83
2024-02-01,Base,Balance Sheet,Debt,130,34000000.0,34000000.0,34000000.0
2024-02-01,Base,Cash Flow,Operating Cash Flow,210,6091758.35,3501514.29,6274511.11
2024-02-01,Base,Cash Flow,Capex,220,-678873.78,-680850.0,-692451.26
2024-02-01,Base,Cash Flow,Free Cash Flow,230,5412884.57,2528871.43,5629399.95
2024-02-01,Base,Cash Flow,Financing Inflow,240,0.0,0.0,0.0
2024-03-01,Base,Income Statement,Revenue,10,20644925.91,20035714.29,20531801.02
2024-03-01,Base,Income Statement,Gross Profit,20,15631982.65,15227142.86,15809486.79
2024-03-01,Base,Income Statement,EBITDA,30,6301274.11,4407857.14,4722314.23
2024-03-01,Base,Income Statement,Net Income,40,4814738.16,2203928.57,2463816.12
2024-03-01,Base,Balance Sheet,Cash,110,124233125.6,64000000.0,126717788.11
2024-03-01,Base,Balance Sheet,Working Capital,120,2270941.85,2404285.71,2225523.01
2024-03-01,Base,Balance Sheet,Debt,130,34000000.0,34000000.0,34000000.0
2024-03-01,Base,Cash Flow,Operating Cash Flow,210,6607025.46,3606428.57,6805236.22
2024-03-01,Base,Cash Flow,Capex,220,-743217.33,-701250.0,-758081.68
2024-03-01,Base,Cash Flow,Free Cash Flow,230,5863808.13,2604642.86,6098360.45
2024-03-01,Base,Cash Flow,Financing Inflow,240,0.0,0.0,0.0
2024-04-01,Base,Income Statement,Revenue,10,20912170.36,20618571.43,20910064.17
2024-04-01,Base,Income Statement,Gross Profit,20,15995106.49,15670114.29,16100749.41
2024-04-01,Base,Income Statement,EBITDA,30,6593259.04,4536085.71,4809314.76
2024-04-01,Base,Income Statement,Net Income,40,5052691.72,2268042.86,2509207.7
2024-04-01,Base,Balance Sheet,Cash,110,130383255.74,64000000.0,132990920.86
2024-04-01,Base,Balance Sheet,Working Capital,120,2300338.74,2474228.57,2254331.96
2024-04-01,Base,Balance Sheet,Debt,130,34000000.0,34000000.0,34000000.0
2024-04-01,Base,Cash Flow,Operating Cash Flow,210,6902968.28,3711342.86,7110057.33
2024-04-01,Base,Cash Flow,Capex,220,-752838.13,-721650.0,-767894.9
2024-04-01,Base,Cash Flow,Free Cash Flow,230,6150130.15,2680414.29,6396135.35
2024-04-01,Base,Cash Flow,Financing Inflow,240,0.0,0.0,0.0
2024-05-01,Base,Income Statement,Revenue,10,21749773.51,21201428.57,21223392.67
2024-05-01,Base,Income Statement,Gross Profit,20,16623616.87,16113085.71,16342012.36
2024-05-01,Base,Income Statement,EBITDA,30,6910190.68,4664314.29,4881380.31
2024-05-01,Base,Income Statement,Net Income,40,5296248.32,2332157.14,2546807.12
2024-05-01,Base,Balance Sheet,Cash,110,136832568.72,64000000.0,139569220.09
2024-05-01,Base,Balance Sheet,Working Capital,120,2392475.09,2544171.43,2344625.58
2024-05-01,Base,Balance Sheet,Debt,130,34000000.0,34000000.0,34000000.0
2024-05-01,Base,Cash Flow,Operating Cash Flow,210,7232304.82,3816257.14,7449273.97
2024-05-01,Base,Cash Flow,Capex,220,-782991.85,-742050.0,-798651.68
2024-05-01,Base,Cash Flow,Free Cash Flow,230,6449312.98,2756185.71,6707285.49
2024-05-01,Base,Cash Flow,Financing Inflow,240,0.0,0.0,0.0
2024-06-01,Base,Income Statement,Revenue,10,22352234.03,21784285.71,22779301.16
2024-06-01,Base,Income Statement,Gross Profit,20,17056419.99,16556057.14,17540061.89
2024-06-01,Base,Income Statement,EBITDA,30,7134773.25,4792542.86,5239239.27
2024-06-01,Base,Income Statement,Net Income,40,5477311.4,2396271.43,2733516.14
2024-06-01,Base,Balance Sheet,Cash,110,143493698.13,64000000.0,146363572.09
2024-06-01,Base,Balance Sheet,Working Capital,120,2458745.74,2614114.29,2409570.83
2024-06-01,Base,Balance Sheet,Debt,130,34000000.0,34000000.0,34000000.0
2024-06-01,Base,Cash Flow,Operating Cash Flow,210,7465809.84,3921171.43,7689784.13
2024-06-01,Base,Cash Flow,Capex,220,-804680.43,-762450.0,-820774.03
2024-06-01,Base,Cash Flow,Free Cash Flow,230,6661129.41,2831957.14,6927574.59
2024-06-01,Base,Cash Flow,Financing Inflow,240,0.0,0.0,0.0
2024-07-01,Base,Income Statement,Revenue,10,23304507.36,22367142.86,23443537.26
2024-07-01,Base,Income Statement,Gross Profit,20,17883983.31,16999028.57,18051523.69
2024-07-01,Base,Income Statement,EBITDA,30,7609800.68,4920771.43,5392013.57
2024-07-01,Base,Income Statement,Net Income,40,5842114.07,2460385.71,2813224.47
2024-07-01,Base,Balance Sheet,Cash,110,150609676.3,64000000.0,153621869.82
2024-07-01,Base,Balance Sheet,Working Capital,120,2563495.81,2684057.14,2512225.89
2024-07-01,Base,Balance Sheet,Debt,130,34000000.0,34000000.0,34000000.0
2024-07-01,Base,Cash Flow,Operating Cash Flow,210,7954940.43,4026085.71,8193588.65
2024-07-01,Base,Cash Flow,Capex,220,-838962.26,-782850.0,-855741.51
2024-07-01,Base,Cash Flow,Free Cash Flow,230,7115978.17,2907728.57,7400617.3
2024-07-01,Base,Cash Flow,Financing Inflow,240,0.0,0.0,0.0
2024-08-01,Base,Income Statement,Revenue,10,22674548.74,22950000.0,22626111.58
2024-08-01,Base,Income Statement,Gross Profit,20,17359185.81,17442000.0,17422105.92
2024-08-01,Base,Income Statement,EBITDA,30,7395979.63,5049000.0,5204005.66
2024-08-01,Base,Income Statement,Net Income,40,5684166.02,2524500.0,2715133.39
2024-08-01,Base,Balance Sheet,Cash,110,157525182.24,64000000.0,160675685.89
2024-08-01,Base,Balance Sheet,Working Capital,120,2494200.36,2754000.0,2444316.35
2024-08-01,Base,Balance Sheet,Debt,130,34000000.0,34000000.0,34000000.0
2024-08-01,Base,Cash Flow,Operating Cash Flow,210,7731789.7,4131000.0,7963743.39
2024-08-01,Base,Cash Flow,Capex,220,-816283.75,-803250.0,-832609.43
2024-08-01,Base,Cash Flow,Free Cash Flow,230,6915505.94,2983500.0,7192126.18
2024-08-01,Base,Cash Flow,Financing Inflow,240,0.0,0.0,0.0
2024-09-01,Base,Income Statement,Revenue,10,22469153.29,23532857.14,22555845.78
2024-09-01,Base,Income Statement,Gross Profit,20,17100031.39,17884971.43,17368001.25
2024-09-01,Base,Income Statement,EBITDA,30,7262509.3,5177228.57,5187844.53
2024-09-01,Base,Income Statement,Net Income,40,5573991.14,2588614.29,2706701.49
2024-09-01,Base,Balance Sheet,Cash,110,164311570.19,64000000.0,167597801.59
2024-09-01,Base,Balance Sheet,Working Capital,120,2471606.86,2823942.86,2422174.72
2024-09-01,Base,Balance Sheet,Debt,130,34000000.0,34000000.0,34000000.0
2024-09-01,Base,Cash Flow,Operating Cash Flow,210,7595277.46,4235914.29,7823135.79
2024-09-01,Base,Cash Flow,Capex,220,-808889.52,-823650.0,-825067.31
2024-09-01,Base,Cash Flow,Free Cash Flow,230,6786387.94,3059271.43,7057843.46
2024-09-01,Base,Cash Flow,Financing Inflow,240,0.0,0.0,0.0
2024-10-01,Base,Income Statement,Revenue,10,22830047.74,24115714.29,21985963.88
2024-10-01,Base,Income Statement,Gross Profit,20,17605267.65,18327942.86,16929192.19
