ScenarioID,Method,MethodSort,Multiple,EnterpriseValue,EquityValue,LowValue,HighValue
Base,EV/Revenue Comps,1,5.8,2214533473.5,2556819613.63,2246784927.34,2866854299.92
Base,EV/EBITDA Comps,2,18.5,2837643975.72,3179930115.86,2782659959.25,3577200272.46
Base,DCF,3,0.0,3224784103.36,3567070243.49,3115600469.02,4018540017.96
Base,Precedent Transactions,4,6.4,2443623143.17,2785909283.3,2443802043.25,3128016523.34
Base,Investor Base Case,5,6.0,2290896696.72,2633182836.85,2312457299.31,2953908374.39
Upside,EV/Revenue Comps,1,5.8,2741761894.77,3158759902.51,2774913237.24,3542606567.78
Upside,EV/EBITDA Comps,2,18.5,3801160973.44,4218158981.18,3685996444.9,4750321517.46
Upside,DCF,3,0.0,4651680324.0,5068678331.74,4417443086.38,5719913577.1
Upside,Precedent Transactions,4,6.4,3025392435.61,3442390443.35,3018835502.36,3865945384.33
Upside,Investor Base Case,5,6.0,2836305408.38,3253303416.12,2856220658.95,3650386173.29
Downside,EV/Revenue Comps,1,5.8,1699986389.2,1971613673.05,1733615578.56,2209611767.53
Downside,EV/EBITDA Comps,2,18.5,1919142115.13,2190769398.98,1922089502.86,2459449295.1
Downside,DCF,3,0.0,2125329284.41,2396956568.26,2099410468.44,2694502668.08
Downside,Precedent Transactions,4,6.4,1875847050.15,2147474334.0,1884855746.98,2410092921.02
Downside,Investor Base Case,5,6.0,1758606609.51,2030233893.36,1784028968.03,2276438818.7
